"numcas"                                             ;"nomsa"                                 ;"classref"                                                           ;"classdate" ;"classcatdanger"                                                                                            ;"classcodeh" ;"classmentiondanger"                                                                                       ;"facteurmvaleur" ;"facteurmorigine" ;"facteurmdate"
"71751-41-2"                                         ;"abamectine"                             ;"Reglement (UE) Ne618/2012 (3e ATP au Reglement 1272/2008)"                      ;10/07/12          ;"Toxicite specifique pour certains organes cibles - Exposition repetee, categorie 1"                                     ;"H372"              ;"Risque avere d'effet graves pour les organes  la suite d'expositions repetees ou d'une exposition prolongee"    ;                   ;""                  ;
"71751-41-2"                                         ;"abamectine"                             ;"Reglement (UE) Ne618/2012 (3e ATP au Reglement 1272/2008)"                      ;10/07/12          ;"Toxicite pour la reproduction, categorie 2(d)"                                                                          ;"H361d"             ;"Susceptible de nuire au foetus"                                                                                  ;                   ;""                  ;
"71751-41-2"                                         ;"abamectine"                             ;"Reglement (UE) Ne618/2012 (3e ATP au Reglement 1272/2008)"                      ;10/07/12          ;"Toxicite aigue (par voie orale), categorie 2"                                                                           ;"H300"              ;"Mortel en cas d'ingestion"                                                                                       ;                   ;""                  ;
"71751-41-2"                                         ;"abamectine"                             ;"Reglement (UE) Ne618/2012 (3e ATP au Reglement 1272/2008)"                      ;10/07/12          ;"Toxicite aigue (par inhalation), categorie 1"                                                                           ;"H330"              ;"Mortel par inhalation"                                                                                           ;                   ;""                  ;
"71751-41-2"                                         ;"abamectine"                             ;"Reglement (UE) Ne618/2012 (3e ATP au Reglement 1272/2008)"                      ;10/07/12          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;10000              ;"ANSES"             ;25/10/11
"71751-41-2"                                         ;"abamectine"                             ;"Reglement (UE) Ne618/2012 (3e ATP au Reglement 1272/2008)"                      ;10/07/12          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;10000              ;"ANSES"             ;25/10/11
"57960-19-7"                                         ;"acequinocyl"                            ;"Reglement (UE) Ne618/2012 (3e ATP au Reglement 1272/2008)"                      ;10/07/12          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;1000               ;"ANSES"             ;19/08/14
"57960-19-7"                                         ;"acequinocyl"                            ;"Reglement (UE) Ne618/2012 (3e ATP au Reglement 1272/2008)"                      ;10/07/12          ;"Toxicite specifique pour certains organes cibles - Exposition unique, categorie 1"                                      ;"H370"              ;"Risque avere d'effets graves pour les organes"                                                                   ;                   ;""                  ;
"57960-19-7"                                         ;"acequinocyl"                            ;"Reglement (UE) Ne618/2012 (3e ATP au Reglement 1272/2008)"                      ;10/07/12          ;"Toxicite specifique pour certains organes cibles - Exposition repetee, categorie 2"                                     ;"H373"              ;"Risque presume d'effets graves pour les organes  la suite d'expositions repetees ou d'une exposition prolongee" ;                   ;""                  ;
"57960-19-7"                                         ;"acequinocyl"                            ;"Reglement (UE) Ne618/2012 (3e ATP au Reglement 1272/2008)"                      ;10/07/12          ;"Sensibilisation cutanee, categorie 1"                                                                                   ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"57960-19-7"                                         ;"acequinocyl"                            ;"Reglement (UE) Ne618/2012 (3e ATP au Reglement 1272/2008)"                      ;10/07/12          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;1000               ;"ANSES"             ;19/08/14
"135410-20-7"                                        ;"acetamiprid"                            ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 3"                                                       ;"H412"              ;"Nocif pour les organismes aquatiques, entraine des effets nefastes  long terme"                                 ;                   ;""                  ;
"135410-20-7"                                        ;"acetamiprid"                            ;"Reglement (UE) Ne790/2009 (1e ATP au Reglement 1272/2008)"                      ;10/08/09          ;"Toxicite aigue (par voie orale), categorie 4"                                                                           ;"H302"              ;"Nocif en cas d'ingestion"                                                                                        ;                   ;""                  ;
"135158-54-2"                                        ;"Acibenzolar-S-methyl"                   ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Irritant pour la peau, categorie 2"                                                                                     ;"H315"              ;"Provoque une irritation cutanee"                                                                                 ;                   ;""                  ;
"135158-54-2"                                        ;"Acibenzolar-S-methyl"                   ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 1"                                                       ;"H410"              ;"Tres toxique pour les organismes aquatiques, entraine des effets nefastes  long terme"                          ;                   ;"ANSES"             ;23/10/14
"135158-54-2"                                        ;"Acibenzolar-S-methyl"                   ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Irritation oculaire, categorie 2"                                                                                       ;"H319"              ;"Provoque une severe irritation des yeux"                                                                         ;                   ;""                  ;
"135158-54-2"                                        ;"Acibenzolar-S-methyl"                   ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Sensibilisation cutanee, categorie 1"                                                                                   ;"H317"              ;"Peut provoquer une allergie cutanee"                                                                             ;                   ;""                  ;
"135158-54-2"                                        ;"Acibenzolar-S-methyl"                   ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Toxicite specifique pour certains organes cibles - Exposition unique - Irritation des voies respiratoires, categorie 3" ;"H335"              ;"Peut irriter les voies respiratoires"                                                                            ;                   ;""                  ;
"135158-54-2"                                        ;"Acibenzolar-S-methyl"                   ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Dangers pour le milieu aquatique - Danger aigu, categorie 1"                                                            ;"H400"              ;"Tres toxique pour les organismes aquatiques"                                                                     ;1                  ;"ANSES"             ;23/10/14
"64-19-7"                                            ;"acide acetique"                         ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Liquides inflammables, categorie 3"                                                                                     ;"H226"              ;"Liquides et vapeurs inflammables"                                                                                ;                   ;""                  ;
"64-19-7"                                            ;"acide acetique"                         ;"Reglement (CE) Ne1272/2008 (ATP 0)"                                             ;16/12/08          ;"Corrosif pour la peau, categorie 1A"                                                                                    ;"H314"              ;"Provoque des brelures de la peau et des lesions oculaires graves"                                                ;                   ;""                  ;
"65-85-0"                                            ;"acide benzoique"                        ;"Reglement (UE) Ne605/2014 (6e ATP au Reglement 1272/2008)"                      ;05/06/14          ;"Toxicite specifique pour certains organes cibles - Exposition repetee, categorie 1"                                     ;"H372"              ;"Risque avere d'effet graves pour les organes  la suite d'expositions repetees ou d'une exposition prolongee"    ;                   ;""                  ;
"65-85-0"                                            ;"acide benzoique"                        ;"Reglement (UE) Ne605/2014 (6e ATP au Reglement 1272/2008)"                      ;05/06/14          ;"Irritant pour la peau, categorie 2"                                                                                     ;"H315"              ;"Provoque une irritation cutanee"                                                                                 ;                   ;""                  ;
"65-85-0"                                            ;"acide benzoique"                        ;"Reglement (UE) Ne605/2014 (6e ATP au Reglement 1272/2008)"                      ;05/06/14          ;"Lesions oculaires graves, categorie 1"                                                                                  ;"H318"              ;"Provoque des lesions oculaires graves"                                                                           ;                   ;""                  ;
"77-06-05"                                           ;"acide gibberellique"                    ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;01/09/09          ;"Sans classement"                                                                                                        ;"Sans classement"   ;"Sans classement"                                                                                                 ;                   ;""                  ;
"133-32-4"                                           ;"acide indolyl butyrique"                ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;15/12/09          ;"Toxicite pour la reproduction, categorie 2(fd)"                                                                         ;"H361fd"            ;"Susceptible de nuire  la fertilite. Susceptible de nuire au foetus"                                             ;                   ;""                  ;
"133-32-4"                                           ;"acide indolyl butyrique"                ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;15/12/09          ;"Toxicite aigue (par voie orale), categorie 4"                                                                           ;"H302"              ;"Nocif en cas d'ingestion"                                                                                        ;                   ;""                  ;
"112-05-0"                                           ;"acide pelargonique"                     ;"Reglement (UE) Ne2015/1221 (7e ATP au Reglement 1272/2008)"                     ;24/07/15          ;"Irritation oculaire, categorie 2"                                                                                       ;"H319"              ;"Provoque une severe irritation des yeux"                                                                         ;                   ;""                  ;
"112-05-0"                                           ;"acide pelargonique"                     ;"Reglement (UE) Ne2015/1221 (7e ATP au Reglement 1272/2008)"                     ;24/07/15          ;"Irritant pour la peau, categorie 2"                                                                                     ;"H315"              ;"Provoque une irritation cutanee"                                                                                 ;                   ;""                  ;
"112-05-0"                                           ;"acide pelargonique"                     ;"Reglement (UE) Ne2015/1221 (7e ATP au Reglement 1272/2008)"                     ;24/07/15          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 3"                                                       ;"H412"              ;"Nocif pour les organismes aquatiques, entraine des effets nefastes  long terme"                                 ;                   ;""                  ;
"86-87-3"                                            ;"acide 1-naphthylacetique"               ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;27/01/10          ;"Toxicite aigue (par voie orale), categorie 4"                                                                           ;"H302"              ;"Nocif en cas d'ingestion"                                                                                        ;                   ;""                  ;
"86-87-3"                                            ;"acide 1-naphthylacetique"               ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;27/01/10          ;"Toxicite pour la reproduction, categorie 2(d)"                                                                          ;"H361d"             ;"Susceptible de nuire au foetus"                                                                                  ;                   ;""                  ;
"86-87-3"                                            ;"acide 1-naphthylacetique"               ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;27/01/10          ;"Dangers pour le milieu aquatique - Danger chronique, categorie 2"                                                       ;"H411"              ;"Toxique pour les organismes aquatiques, entraene des effets  long terme"                                        ;                   ;""                  ;
"86-87-3"                                            ;"acide 1-naphthylacetique"               ;"Classement adapte par l'ANSES selon les regles de traduction du reglement CLP"  ;27/01/10          ;"Lesions oculaires graves, categorie 1"                                                                                  ;"H318"              ;"Provoque des lesions oculaires graves"                                                                           ;                   ;""                  ;
