"numcas"                                         ;"nomsa"                                 ;"natureetude"         ;"DL50/CL50" ;"valeur"         ;"unite" ;"espece"  ;"sexe"
"71751-41-2"                                         ;"abamectine"                             ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"lapin"   ;"MF"
"71751-41-2"                                         ;"abamectine"                             ;"Toxicite aigue cutanee"    ;"DL50"      ;">330"           ;"mg/kg" ;"rat"     ;"MF"
"71751-41-2"                                         ;"abamectine"                             ;"Toxicite aigue inhalation" ;"CL50"      ;"0,034"          ;"mg/L"  ;"rat"     ;""
"71751-41-2"                                         ;"abamectine"                             ;"Toxicite aigue VO"         ;"DL50"      ;">24"            ;"mg/kg" ;"singe"   ;"MF"
"71751-41-2"                                         ;"abamectine"                             ;"Toxicite aigue VO"         ;"DL50"      ;"14"             ;"mg/kg" ;"souris"  ;"F"
"71751-41-2"                                         ;"abamectine"                             ;"Toxicite aigue VO"         ;"DL50"      ;"10"             ;"mg/kg" ;"rat"     ;"MF"
"57960-19-7"                                         ;"acequinocyl"                            ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;"MF"
"57960-19-7"                                         ;"acequinocyl"                            ;"Toxicite aigue inhalation" ;"CL50"      ;"> 0,84"         ;"mg/L"  ;"rat"     ;"MF"
"57960-19-7"                                         ;"acequinocyl"                            ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"rat"     ;"MF"
"57960-19-7"                                         ;"acequinocyl"                            ;"Toxicite aigue VO"         ;"DL50"      ;"> 5000"         ;"mg/kg" ;"souris"  ;"MF"
"135410-20-7"                                        ;"acetamiprid"                            ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"rat"     ;"MF"
"135410-20-7"                                        ;"acetamiprid"                            ;"Toxicite aigue inhalation" ;"CL50"      ;"> 1,15"         ;"mg/L"  ;"rat"     ;"MF"
"135410-20-7"                                        ;"acetamiprid"                            ;"Toxicite aigue VO"         ;"DL50"      ;"417"            ;"mg/kg" ;"rat"     ;"M"
"135410-20-7"                                        ;"acetamiprid"                            ;"Toxicite aigue VO"         ;"DL50"      ;"314"            ;"mg/kg" ;"rat"     ;"F"
"135158-54-2"                                        ;"Acibenzolar-S-methyl"                   ;"Toxicite aigue cutanee"    ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;"MF"
"135158-54-2"                                        ;"Acibenzolar-S-methyl"                   ;"Toxicite aigue inhalation" ;"CL50"      ;"> 5"            ;"mg/L"  ;"rat"     ;"MF"
"135158-54-2"                                        ;"Acibenzolar-S-methyl"                   ;"Toxicite aigue VO"         ;"DL50"      ;">2000"          ;"mg/kg" ;"rat"     ;"MF"
"135158-54-2"                                        ;"Acibenzolar-S-methyl"                   ;"Toxicite aigue VO"         ;"DL50"      ;">5000"          ;"mg/kg" ;"souris"  ;"MF"
"65-85-0"                                            ;"acide benzoique"                        ;"Toxicite aigue cutanee"    ;"DL50"      ;"> 2000"         ;"mg/kg" ;"lapin"   ;""
